lat,lon,tech,interest_rate,build_cost_multiplier,land_cost_usd_per_km2_year,water_cost_usd_per_m3
-23.0,133.0,solar,0.058,1.2,1500,2.0
-23.0,133.0,solar_tracking,0.055,1.2,1500,2.0
-23.0,133.0,wind,0.066,1.4,1500,2.0
-23.0,133.0,ammonia_synthesis,0.082,1.3,0,2.0
-23.0,133.0,electrolysis,0.071,1.3,0,2.0
-23.0,133.0,hydrogen_compression,0.078,1.3,0,2.0
-23.0,133.0,hydrogen_from_storage,0.052,1.1,0,2.0
-23.0,133.0,hydrogen_fuel_cell,0.076,1.2,0,2.0
-23.0,133.0,ammonia,1.0,1.2,0,2.0
-23.0,133.0,battery_storage,0.071,1.2,0,2.0
-23.0,133.0,compressed_hydrogen_store,0.065,1.2,0,2.0
-25.0,135.0,solar,0.062,1.5,1000,4.5
-25.0,135.0,solar_tracking,0.060,1.5,1000,4.5
-25.0,135.0,wind,0.070,1.6,1000,4.5
-25.0,135.0,ammonia_synthesis,0.085,1.5,0,4.5
-25.0,135.0,electrolysis,0.074,1.5,0,4.5
-25.0,135.0,hydrogen_compression,0.080,1.5,0,4.5
-25.0,135.0,hydrogen_from_storage,0.055,1.2,0,4.5
-25.0,135.0,hydrogen_fuel_cell,0.080,1.4,0,4.5
-25.0,135.0,ammonia,1.0,1.4,0,4.5
-25.0,135.0,battery_storage,0.074,1.4,0,4.5
-25.0,135.0,compressed_hydrogen_store,0.068,1.4,0,4.5
-20.0,120.0,solar,0.055,1.0,2000,1.5
-20.0,120.0,solar_tracking,0.052,1.0,2000,1.5
-20.0,120.0,wind,0.064,1.1,2000,1.5
-20.0,120.0,ammonia_synthesis,0.080,1.1,0,1.5
-20.0,120.0,electrolysis,0.068,1.1,0,1.5
-20.0,120.0,hydrogen_compression,0.075,1.1,0,1.5
-20.0,120.0,hydrogen_from_storage,0.050,1.0,0,1.5
-20.0,120.0,hydrogen_fuel_cell,0.074,1.0,0,1.5
-20.0,120.0,ammonia,1.0,1.0,0,1.5
-20.0,120.0,battery_storage,0.070,1.0,0,1.5
-20.0,120.0,compressed_hydrogen_store,0.062,1.0,0,1.5
