lat,lon
-74.0,161.0
-74.0,162.0
-74.0,163.0
-74.0,164.0
-74.0,165.0
-74.0,166.0
-74.0,167.0
-74.0,168.0
-74.0,169.0
-74.0,170.0
-74.0,171.0
-74.0,172.0
-74.0,173.0
-74.0,174.0
-74.0,175.0
-74.0,176.0
-74.0,177.0
-74.0,178.0
-74.0,179.0
-73.0,163.0
-73.0,164.0
-73.0,165.0
-73.0,166.0
-73.0,167.0
-73.0,168.0
-73.0,169.0
-73.0,170.0
-73.0,171.0
-73.0,172.0
-73.0,173.0
-73.0,174.0
-73.0,175.0
-73.0,176.0
-73.0,177.0
-73.0,178.0
-73.0,179.0
-72.0,164.0
-72.0,167.0
-72.0,168.0
-72.0,169.0
-72.0,170.0
-72.0,171.0
-72.0,172.0
-72.0,173.0
-72.0,174.0
-72.0,175.0
-72.0,176.0
-72.0,177.0
-71.0,162.0
-71.0,163.0
-71.0,164.0
-71.0,165.0
-71.0,166.0
-71.0,167.0
-71.0,168.0
-71.0,171.0
-71.0,172.0
-71.0,173.0
-70.0,168.0
-70.0,169.0
-70.0,170.0
-70.0,171.0
-69.0,162.0
-69.0,163.0
-69.0,164.0
-69.0,165.0
-56.0,99.0
-56.0,101.0
-56.0,103.0
-56.0,105.0
-56.0,107.0
-56.0,109.0
-56.0,110.0
-56.0,111.0
-56.0,112.0
-56.0,113.0
-56.0,114.0
-56.0,115.0
-56.0,116.0
-56.0,117.0
-56.0,118.0
-56.0,119.0
-56.0,120.0
-56.0,121.0
-56.0,122.0
-56.0,123.0
-56.0,124.0
-56.0,125.0
-56.0,126.0
-56.0,127.0
-56.0,128.0
-56.0,129.0
-56.0,130.0
-56.0,131.0
-56.0,132.0
-56.0,133.0
-56.0,134.0
-56.0,135.0
-56.0,136.0
-56.0,137.0
-56.0,138.0
-56.0,139.0
-56.0,140.0
-56.0,141.0
-56.0,142.0
-56.0,143.0
-56.0,144.0
-56.0,145.0
-56.0,146.0
-56.0,147.0
-56.0,148.0
-56.0,149.0
-56.0,150.0
-56.0,151.0
-56.0,152.0
-56.0,153.0
-56.0,154.0
-56.0,155.0
-56.0,156.0
-56.0,157.0
-56.0,158.0
-56.0,159.0
-56.0,160.0
-56.0,161.0
-56.0,162.0
-56.0,163.0
-56.0,164.0
-56.0,165.0
-56.0,166.0
-56.0,167.0
-56.0,168.0
-56.0,169.0
-56.0,170.0
-56.0,171.0
-56.0,172.0
-56.0,173.0
-56.0,174.0
-56.0,175.0
-56.0,176.0
-56.0,177.0
-56.0,178.0
-56.0,179.0
-55.0,90.0
-55.0,91.0
-55.0,92.0
-55.0,93.0
-55.0,94.0
-55.0,95.0
-55.0,96.0
-55.0,97.0
-55.0,98.0
-55.0,99.0
-55.0,100.0
-55.0,101.0
-55.0,102.0
-55.0,103.0
-55.0,104.0
-55.0,105.0
-55.0,106.0
-55.0,107.0
-55.0,108.0
-55.0,109.0
-55.0,110.0
-55.0,111.0
-55.0,112.0
-55.0,113.0
-55.0,114.0
-55.0,115.0
-55.0,116.0
-55.0,117.0
-55.0,118.0
-55.0,119.0
-55.0,120.0
-55.0,121.0
-55.0,122.0
-55.0,123.0
-55.0,124.0
-55.0,125.0
-55.0,126.0
-55.0,127.0
-55.0,128.0
-55.0,129.0
-55.0,130.0
-55.0,131.0
-55.0,132.0
-55.0,133.0
-55.0,134.0
-55.0,135.0
-55.0,136.0
-55.0,137.0
-55.0,138.0
-55.0,139.0
-55.0,140.0
-55.0,141.0
-55.0,142.0
-55.0,143.0
-55.0,144.0
-55.0,145.0
-55.0,146.0
-55.0,147.0
-55.0,148.0
-55.0,149.0
-55.0,150.0
-55.0,151.0
-55.0,152.0
-55.0,153.0
-55.0,154.0
-55.0,155.0
-55.0,156.0
-55.0,157.0
-55.0,158.0
-55.0,159.0
-55.0,160.0
-55.0,161.0
-55.0,162.0
-55.0,163.0
-55.0,164.0
-55.0,165.0
-55.0,166.0
-55.0,167.0
-55.0,168.0
-55.0,169.0
-55.0,170.0
-55.0,171.0
-55.0,172.0
-55.0,173.0
-55.0,174.0
-55.0,175.0
-55.0,176.0
-55.0,177.0
-55.0,178.0
-55.0,179.0
-54.0,90.0
-54.0,91.0
-54.0,92.0
-54.0,93.0
-54.0,94.0
-54.0,95.0
-54.0,96.0
-54.0,97.0
-54.0,98.0
-54.0,99.0
-54.0,100.0
-54.0,101.0
-54.0,102.0
-54.0,103.0
-54.0,104.0
-54.0,105.0
-54.0,106.0
-54.0,107.0
-54.0,108.0
-54.0,109.0
-54.0,110.0
-54.0,111.0
-54.0,112.0
-54.0,113.0
-54.0,114.0
-54.0,115.0
-54.0,116.0
-54.0,117.0
-54.0,118.0
-54.0,119.0
-54.0,120.0
-54.0,121.0
-54.0,122.0
-54.0,123.0
-54.0,124.0
-54.0,125.0
-54.0,126.0
-54.0,127.0
-54.0,128.0
-54.0,129.0
-54.0,130.0
-54.0,131.0
-54.0,132.0
-54.0,133.0
-54.0,134.0
-54.0,135.0
-54.0,136.0
-54.0,137.0
-54.0,138.0
-54.0,139.0
-54.0,140.0
-54.0,141.0
-54.0,142.0
-54.0,143.0
-54.0,144.0
-54.0,145.0
-54.0,146.0
-54.0,147.0
-54.0,148.0
-54.0,149.0
-54.0,150.0
-54.0,151.0
-54.0,152.0
-54.0,153.0
-54.0,154.0
-54.0,155.0
-54.0,156.0
-54.0,157.0
-54.0,158.0
-54.0,159.0
-54.0,160.0
-54.0,161.0
-54.0,162.0
-54.0,163.0
-54.0,164.0
-54.0,165.0
-54.0,166.0
-54.0,167.0
-54.0,168.0
-54.0,169.0
-54.0,170.0
-54.0,171.0
-54.0,172.0
-54.0,173.0
-54.0,174.0
-54.0,175.0
-54.0,176.0
-54.0,177.0
-54.0,178.0
-54.0,179.0
-53.0,90.0
-53.0,91.0
-53.0,92.0
-53.0,93.0
-53.0,94.0
-53.0,95.0
-53.0,96.0
-53.0,97.0
-53.0,98.0
-53.0,99.0
-53.0,100.0
-53.0,101.0
-53.0,102.0
-53.0,103.0
-53.0,104.0
-53.0,105.0
-53.0,106.0
-53.0,107.0
-53.0,108.0
-53.0,109.0
-53.0,110.0
-53.0,111.0
-53.0,112.0
-53.0,113.0
-53.0,114.0
-53.0,115.0
-53.0,116.0
-53.0,117.0
-53.0,118.0
-53.0,119.0
-53.0,120.0
-53.0,121.0
-53.0,122.0
-53.0,123.0
-53.0,124.0
-53.0,125.0
-53.0,126.0
-53.0,127.0
-53.0,128.0
-53.0,129.0
-53.0,130.0
-53.0,131.0
-53.0,132.0
-53.0,133.0
-53.0,134.0
-53.0,135.0
-53.0,136.0
-53.0,137.0
-53.0,138.0
-53.0,139.0
-53.0,140.0
-53.0,141.0
-53.0,142.0
-53.0,143.0
-53.0,144.0
-53.0,145.0
-53.0,146.0
-53.0,147.0
-53.0,148.0
-53.0,149.0
-53.0,150.0
-53.0,151.0
-53.0,152.0
-53.0,153.0
-53.0,154.0
-53.0,155.0
-53.0,156.0
-53.0,157.0
-53.0,158.0
-53.0,159.0
-53.0,160.0
-53.0,162.0
-53.0,163.0
-53.0,164.0
-53.0,165.0
-53.0,166.0
-53.0,167.0
-53.0,168.0
-53.0,170.0
-34.0,135.0
-34.0,137.0
-34.0,139.0
-34.0,141.0
-34.0,143.0
-34.0,145.0
-34.0,147.0
-34.0,149.0
-34.0,150.0
-34.0,151.0
-34.0,152.0
-34.0,153.0
-34.0,154.0
-34.0,155.0
-34.0,156.0
-34.0,157.0
-34.0,158.0
-34.0,159.0
-34.0,160.0
-34.0,161.0
-34.0,162.0
-34.0,163.0
-34.0,164.0
-34.0,165.0
-34.0,166.0
-34.0,167.0
-34.0,168.0
-34.0,169.0
-34.0,170.0
-34.0,171.0
-34.0,172.0
-34.0,173.0
-34.0,174.0
-34.0,175.0
-34.0,176.0
-34.0,177.0
-34.0,178.0
-34.0,179.0
-33.0,90.0
-33.0,91.0
-33.0,92.0
-33.0,93.0
-33.0,94.0
-33.0,95.0
-33.0,96.0
-33.0,97.0
-33.0,98.0
-33.0,99.0
-33.0,100.0
-33.0,101.0
-33.0,102.0
-33.0,103.0
-33.0,104.0
-33.0,105.0
-33.0,106.0
-33.0,107.0
-33.0,108.0
-33.0,109.0
-33.0,110.0
-33.0,111.0
-33.0,112.0
-33.0,113.0
-33.0,114.0
-33.0,115.0
-33.0,116.0
-33.0,117.0
-33.0,118.0
-33.0,119.0
-33.0,120.0
-33.0,121.0
-33.0,122.0
-33.0,123.0
-33.0,124.0
-33.0,125.0
-33.0,126.0
-33.0,127.0
-33.0,128.0
-33.0,129.0
-33.0,130.0
-33.0,131.0
-33.0,132.0
-33.0,133.0
-33.0,134.0
-33.0,135.0
-33.0,136.0
-33.0,137.0
-33.0,138.0
-33.0,139.0
-33.0,140.0
-33.0,141.0
-33.0,142.0
-33.0,143.0
-33.0,144.0
-33.0,145.0
-33.0,146.0
-33.0,147.0
-33.0,148.0
-33.0,149.0
-33.0,150.0
-33.0,151.0
-33.0,152.0
-33.0,153.0
-33.0,154.0
-33.0,155.0
-33.0,156.0
-33.0,157.0
-33.0,158.0
-33.0,159.0
-33.0,160.0
-33.0,161.0
-33.0,162.0
-33.0,163.0
-33.0,164.0
-33.0,165.0
-33.0,166.0
-33.0,167.0
-33.0,168.0
-33.0,169.0
-33.0,170.0
-33.0,171.0
-33.0,172.0
-33.0,173.0
-33.0,174.0
-33.0,175.0
-33.0,176.0
-33.0,177.0
-33.0,178.0
-33.0,179.0
-32.0,90.0
-32.0,91.0
-32.0,92.0
-32.0,93.0
-32.0,94.0
-32.0,95.0
-32.0,96.0
-32.0,97.0
-32.0,98.0
-32.0,99.0
-32.0,100.0
-32.0,101.0
-32.0,102.0
-32.0,103.0
-32.0,104.0
-32.0,105.0
-32.0,106.0
-32.0,107.0
-32.0,108.0
-32.0,109.0
-32.0,110.0
-32.0,111.0
-32.0,112.0
-32.0,113.0
-32.0,114.0
-32.0,115.0
-32.0,116.0
-32.0,117.0
-32.0,118.0
-32.0,119.0
-32.0,120.0
-32.0,121.0
-32.0,122.0
-32.0,123.0
-32.0,124.0
-32.0,125.0
-32.0,126.0
-32.0,127.0
-32.0,128.0
-32.0,129.0
-32.0,130.0
-32.0,131.0
-32.0,132.0
-32.0,133.0
-32.0,134.0
-32.0,135.0
-32.0,136.0
-32.0,137.0
-32.0,138.0
-32.0,139.0
-32.0,140.0
-32.0,141.0
-32.0,142.0
-32.0,143.0
-32.0,144.0
-32.0,145.0
-32.0,146.0
-32.0,147.0
-32.0,148.0
-32.0,149.0
-32.0,150.0
-32.0,151.0
-32.0,152.0
-32.0,153.0
-32.0,154.0
-32.0,155.0
-32.0,156.0
-32.0,157.0
-32.0,158.0
-32.0,159.0
-32.0,160.0
-32.0,161.0
-32.0,162.0
-32.0,163.0
-32.0,164.0
-32.0,165.0
-32.0,166.0
-32.0,167.0
-32.0,168.0
-32.0,169.0
-32.0,170.0
-32.0,171.0
-32.0,172.0
-32.0,173.0
-32.0,174.0
-32.0,175.0
-32.0,176.0
-32.0,177.0
-32.0,178.0
-32.0,179.0
-31.0,90.0
-31.0,91.0
-31.0,92.0
-31.0,93.0
-31.0,94.0
-31.0,95.0
-31.0,96.0
-31.0,97.0
-31.0,98.0
